File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
oled.o,11.331747%,3715,23,1620,2072,23,0
mc_w.l,9.114202%,2988,4,2984,0,4,0
system_protocol.o,7.512811%,2463,158,2444,17,2,156
printfa.o,7.174232%,2352,0,2352,0,0,0
alarm_app.o,5.908370%,1937,4279,1922,14,1,4278
system_app.o,5.697901%,1868,4104,1820,48,0,4104
data_app.o,4.245974%,1392,29,1284,88,20,9
param_app.o,3.953148%,1296,4118,1296,0,0,4118
mf_w.l,3.251586%,1066,0,1066,0,0,0
gd32f4xx_rcu.o,2.543924%,834,0,826,8,0,0
gd32f4xx_rtc.o,2.458516%,806,0,806,0,0,0
system_gd32f4xx.o,2.122987%,696,4,692,0,4,0
perf_counter.o,2.122987%,696,36,692,4,0,36
gd30ad3344.o,1.787457%,586,2,558,28,0,2
gd32f4xx_usart.o,1.726452%,566,0,566,0,0,0
gd32f4xx_fmc.o,1.671547%,548,0,548,0,0,0
gd32f4xx_adc.o,1.647145%,540,0,540,0,0,0
gd32f4xx_dma.o,1.427526%,468,0,468,0,0,0
startup_gd32f450_470.o,1.415325%,464,8192,36,428,0,8192
power_driver.o,1.366520%,448,0,448,0,0,0
gd32f4xx_i2c.o,1.354319%,444,0,444,0,0,0
uart_driver.o,1.146901%,376,260,372,0,4,256
rtc_driver.o,1.140800%,374,32,374,0,0,32
adc_driver.o,1.024890%,336,4,336,0,0,4
dadd.o,1.018790%,334,0,334,0,0,0
oled_driver.o,1.006589%,330,4,328,0,2,2
gd32f4xx_pmu.o,0.908980%,298,16,298,0,0,16
gd32f4xx_gpio.o,0.829673%,272,0,272,0,0,0
gd32f4xx_it.o,0.750366%,246,0,246,0,0,0
gd30ad3344_driver.o,0.719863%,236,24,236,0,0,24
dmul.o,0.695461%,228,0,228,0,0,0
ddiv.o,0.677160%,222,0,222,0,0,0
gd32f4xx_misc.o,0.658858%,216,0,216,0,0,0
gd32f4xx_dac.o,0.622255%,204,0,204,0,0,0
oled_app.o,0.600903%,197,2,196,0,1,1
depilogue.o,0.567350%,186,0,186,0,0,0
gd32f4xx_exti.o,0.567350%,186,0,186,0,0,0
perfc_port_default.o,0.518546%,170,0,170,0,0,0
usart_app.o,0.488043%,160,259,160,0,0,259
scheduler.o,0.463641%,152,61,92,0,60,1
key_driver.o,0.457540%,150,0,150,0,0,0
dac_driver.o,0.439239%,144,2,144,0,0,2
gd32f4xx_syscfg.o,0.402635%,132,0,132,0,0,0
systick.o,0.359932%,118,4,118,0,0,4
led_app.o,0.359932%,118,5,118,0,0,5
gd32f4xx_spi.o,0.341630%,112,0,112,0,0,0
main.o,0.323328%,106,0,106,0,0,0
uldiv.o,0.298926%,98,0,98,0,0,0
ldiv.o,0.298926%,98,0,98,0,0,0
led_driver.o,0.268424%,88,0,88,0,0,0
memmovea.o,0.195217%,64,0,64,0,0,0
m_wm.l,0.176916%,58,0,58,0,0,0
sqrtf.o,0.176916%,58,0,58,0,0,0
dfixul.o,0.146413%,48,0,48,0,0,0
cdrcmple.o,0.146413%,48,0,48,0,0,0
init.o,0.146413%,48,0,48,0,0,0
uidiv.o,0.134212%,44,0,44,0,0,0
cpp_init.o,0.122011%,40,0,40,0,0,0
memseta.o,0.109810%,36,0,36,0,0,0
llsshr.o,0.109810%,36,0,36,0,0,0
systick_wrapper_ual.o,0.109810%,36,0,36,0,0,0
llushr.o,0.097609%,32,0,32,0,0,0
llshl.o,0.091508%,30,0,30,0,0,0
handlers.o,0.091508%,30,0,30,0,0,0
memcmp.o,0.079307%,26,0,26,0,0,0
errno.o,0.048804%,16,4,12,0,4,0
strlen.o,0.042704%,14,0,14,0,0,0
adc_app.o,0.042704%,14,0,14,0,0,0
rtc_app.o,0.036603%,12,0,12,0,0,0
gd32f4xx_timer.o,0.030503%,10,0,10,0,0,0
entry9a.o,0.024402%,8,0,8,0,0,0
entry2.o,0.024402%,8,0,8,0,0,0
entry8a.o,0.012201%,4,0,4,0,0,0
entry5.o,0.012201%,4,0,4,0,0,0
