File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,37.880329%,8192,464,36,428,0,8192
alarm_app.o,19.786367%,4279,1937,1922,14,1,4278
param_app.o,19.041895%,4118,1296,1296,0,0,4118
system_app.o,18.977158%,4104,1868,1820,48,0,4104
uart_driver.o,1.202257%,260,376,372,0,4,256
usart_app.o,1.197632%,259,160,160,0,0,259
system_protocol.o,0.730602%,158,2463,2444,17,2,156
scheduler.o,0.282068%,61,152,92,0,60,1
perf_counter.o,0.166466%,36,696,692,4,0,36
rtc_driver.o,0.147970%,32,374,374,0,0,32
data_app.o,0.134098%,29,1392,1284,88,20,9
gd30ad3344_driver.o,0.110978%,24,236,236,0,0,24
oled.o,0.106353%,23,3715,1620,2072,23,0
gd32f4xx_pmu.o,0.073985%,16,298,298,0,0,16
led_app.o,0.023120%,5,118,118,0,0,5
mc_w.l,0.018496%,4,2988,2984,0,4,0
errno.o,0.018496%,4,16,12,0,4,0
systick.o,0.018496%,4,118,118,0,0,4
system_gd32f4xx.o,0.018496%,4,696,692,0,4,0
oled_driver.o,0.018496%,4,330,328,0,2,2
adc_driver.o,0.018496%,4,336,336,0,0,4
oled_app.o,0.009248%,2,197,196,0,1,1
gd30ad3344.o,0.009248%,2,586,558,28,0,2
dac_driver.o,0.009248%,2,144,144,0,0,2
