File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
bl_core.o,30.489782%,5640,102411,5452,182,6,102405
mc_w.l,14.801600%,2738,0,2738,0,0,0
printfa.o,12.433777%,2300,0,2300,0,0,0
mf_w.l,5.762785%,1066,0,1066,0,0,0
gd32f4xx_fmc.o,4.173424%,772,0,772,0,0,0
system_gd32f4xx.o,3.751757%,694,4,690,0,4,0
bl_flash_if.o,3.200346%,592,0,592,0,0,0
gd32f4xx_usart.o,2.713807%,502,0,502,0,0,0
startup_gd32f450_470.o,2.508379%,464,8192,36,428,0,8192
bsp_system.o,2.411072%,446,0,446,0,0,0
dadd.o,1.805601%,334,0,334,0,0,0
gd32f4xx_rcu.o,1.556925%,288,0,280,8,0,0
gd32f4xx_pmu.o,1.513677%,280,16,280,0,0,16
gd32f4xx_gpio.o,1.427181%,264,0,264,0,0,0
dmul.o,1.232566%,228,0,228,0,0,0
ddiv.o,1.200130%,222,0,222,0,0,0
gd32f4xx_misc.o,1.167694%,216,0,216,0,0,0
usart_app.o,1.102822%,204,2,204,0,0,2
depilogue.o,1.005514%,186,0,186,0,0,0
gd32f4xx_exti.o,1.005514%,186,0,186,0,0,0
systick.o,0.778463%,144,8,144,0,0,8
gd32f4xx_syscfg.o,0.713591%,132,0,132,0,0,0
uldiv.o,0.529787%,98,0,98,0,0,0
memmovea.o,0.345983%,64,0,64,0,0,0
dfixul.o,0.259488%,48,0,48,0,0,0
cdrcmple.o,0.259488%,48,0,48,0,0,0
init.o,0.259488%,48,0,48,0,0,0
uidiv.o,0.237864%,44,0,44,0,0,0
gd32f4xx_it.o,0.237864%,44,0,44,0,0,0
memseta.o,0.194616%,36,0,36,0,0,0
llsshr.o,0.194616%,36,0,36,0,0,0
llushr.o,0.172992%,32,0,32,0,0,0
llshl.o,0.162180%,30,0,30,0,0,0
handlers.o,0.162180%,30,0,30,0,0,0
main.o,0.118932%,22,0,22,0,0,0
entry9a.o,0.043248%,8,0,8,0,0,0
entry2.o,0.043248%,8,0,8,0,0,0
entry5.o,0.021624%,4,0,4,0,0,0
